school_id,school,school_mascot,abbreviation,conference_id,division,classification,color,alternate_color,logo,stadium_name,school_city,school_state,stadium_latitude,stadium_longitude,stadium_elevation,stadium_capacity,stadium_grass,stadium_dome
23,San José State,Spartans,SJSU,17,,fbs,#0055a2,#e5a823,https://cdn.collegefootballdata.com/logos/500/23.png,CEFCU Stadium,San Jose,CA,37.3196675,-121.8682962,28.30708694,30456,FALSE,FALSE
62,Hawai'i,Rainbow Warriors,HAW,17,,fbs,#024731,#000000,https://cdn.collegefootballdata.com/logos/500/62.png,Clarence T.C. Ching Athletics Complex,Honolulu,HI,21.294294,-157.819338,20,15194,FALSE,FALSE
167,New Mexico,Lobos,UNM,17,,fbs,#ba0c2f,#a7a8aa,https://cdn.collegefootballdata.com/logos/500/167.png,University Stadium (NM),Albuquerque,NM,35.0669479,-106.6283225,1554.471924,39224,FALSE,FALSE
2005,Air Force,Falcons,AF,17,,fbs,#003594,#ffffff,https://cdn.collegefootballdata.com/logos/500/2005.png,Falcon Stadium,Colorado Springs,CO,38.9969701,-104.8436165,2024.875732,46692,FALSE,FALSE
2439,UNLV,Rebels,UNLV,17,,fbs,#cf0a2c,#cac8c8,https://cdn.collegefootballdata.com/logos/500/2439.png,Allegiant Stadium,Las Vegas,NV,36.09075,-115.183722,666,65000,FALSE,TRUE
2440,Nevada,Wolf Pack,NEV,17,,fbs,#041e42,#8a8d8f,https://cdn.collegefootballdata.com/logos/500/2440.png,Mackay Stadium,Reno,NV,39.5469459,-119.8175435,1406.57605,27000,FALSE,FALSE
2449,North Dakota State,Bison,NDSU,17,,fbs,#00583d,#ffc425,https://cdn.collegefootballdata.com/logos/500/2449.png,Fargodome,Fargo,ND,46.9029938,-96.8003251,274.4847717,18700,FALSE,TRUE
2459,Northern Illinois,Huskies,NIU,17,,fbs,#c8102e,#000000,https://cdn.collegefootballdata.com/logos/500/2459.png,Huskie Stadium,DeKalb,IL,41.9339586,-88.7778357,267.4530029,23595,FALSE,FALSE
2638,UTEP,Miners,UTEP,17,,fbs,#ff8200,#041e42,https://cdn.collegefootballdata.com/logos/500/2638.png,Sun Bowl,El Paso,TX,31.7733353,-106.507957,1183.697876,51500,FALSE,FALSE
2751,Wyoming,Cowboys,WYO,17,,fbs,#492f24,#ffc425,https://cdn.collegefootballdata.com/logos/500/2751.png,War Memorial Stadium,Laramie,WY,41.31161,-105.5681384,2200.153564,29181,FALSE,FALSE
